ID,Phylum,Class,Family,Genus,species nov.,Strain,Clonal,Axenic,PCR,Principle Investigator
MMETSP0308,Glaucophyta,Glaucophyceae,Gloeochaetaceae,Gloeochaete,witrockiana,SAG 46.84,Unknown,No,No,Patrick Keeling
MMETSP0312,Rhodophyta,Compsopogonophyceae,Compsopogonaceae,Compsopogon,coeruleus,SAG 36.94,Unknown,No,No,Patrick Keeling
MMETSP0313,Rhodophyta,Rhodellophyceae,Porphyridiaceae,Porphyridium,aerugineum,SAG 1380-2,Unknown,Yes,No,Patrick Keeling
MMETSP0314,Rhodophyta,Rhodellophyceae,Rhodellaceae,Rhodella,maculata,CCMP736,Unknown,Yes,No,Patrick Keeling
MMETSP0315,Rhodophyta,Rhodellophyceae,Stylonemataceae,Rhodosorus,marinus,UTEX LB 2760,Unknown,No,No,Patrick Keeling
MMETSP0316,Bacillariophyta,Bacillariophyceae,Catenulaceae,Amphora,coffeaeformis,CCMP127,Unknown,Yes,No,Peter Stief
MMETSP0317,Bacillariophyta,Bacillariophyceae,Catenulaceae,Amphora,coffeaeformis,CCMP127,Unknown,Yes,No,Peter Stief
MMETSP0318,Bacillariophyta,Bacillariophyceae,Catenulaceae,Amphora,coffeaeformis,CCMP127,Unknown,Yes,No,Peter Stief
MMETSP0319,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Skeletonema,marinoi,SM1012Hels-07,Yes,No,No,Satoshi Nagai
MMETSP0320,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Skeletonema,marinoi,SM1012Den-03,Yes,No,No,Satoshi Nagai
MMETSP0321,Bacillariophyta,Coscinodiscophyceae,Leptocylindraceae,Leptocylindrus,danicus var. danicus,B650,Yes,No,No,ADRIANA ZINGONE
MMETSP0322,Bacillariophyta,Coscinodiscophyceae,Leptocylindraceae,Leptocylindrus,danicus var. apora,B651,Yes,No,No,ADRIANA ZINGONE
MMETSP0323,Dinophyta,Dinophyceae,Crypthecodiniacea,Crypthecodinium,cohnii,WH (Provasly/Seligo),Yes,Yes,No,Philippe Deschamps
